,tiempo,temp,temp_s,clft,sp
107,107.1460542678833,24.927,24.948,0.0,25.0
108,108.1475384235382,24.976,24.949,0.0,25.0
109,109.14897871017456,25.024,24.948,0.0,25.0
110,110.15042233467102,24.927,24.947,0.0,25.0
111,111.15144848823547,24.927,24.947,0.0,25.0
112,112.15291237831116,24.976,24.946,0.0,25.0
113,113.15438032150269,24.927,24.946,0.0,25.0
114,114.15585398674013,24.927,24.945,0.0,25.0
115,115.15734958648682,24.927,24.946,0.0,25.0
116,116.1588237285614,24.927,24.946,0.0,25.0
117,117.15921068191528,24.976,24.948,0.0,25.0
118,118.1595742702484,24.927,24.947,0.0,25.0
119,119.16099071502686,24.927,24.946,0.0,25.0
120,120.16244864463806,24.927,24.945,0.0,25.0
121,121.1639895439148,25.024,24.946,0.0,25.0
122,122.16543102264404,24.927,24.948,0.0,25.0
123,123.1668825149536,24.976,24.95,0.0,25.0
124,124.16836810112,24.927,24.949,0.0,25.0
125,125.16981172561646,25.024,24.952,0.0,25.0
126,126.17128086090088,24.927,24.952,0.0,25.0
127,127.17273998260498,24.927,24.955,0.0,25.0
128,128.17419362068176,24.927,24.956,0.0,25.0
129,129.1756465435028,24.927,24.955,0.0,25.0
130,130.17705965042114,24.976,24.955,0.0,25.0
131,131.1785054206848,24.927,24.956,0.0,25.0
132,132.179425239563,25.024,24.958,0.0,25.0
133,133.1808795928955,24.927,24.958,0.0,25.0
134,134.18234992027283,24.976,24.959,0.0,25.0
135,135.1838173866272,24.927,24.96,0.0,25.0
136,136.18528985977173,24.976,24.96,0.0,25.0
137,137.18673133850098,24.927,24.958,0.0,25.0
138,138.1881594657898,24.927,24.958,0.0,25.0
139,139.18931698799133,24.976,24.958,0.0,25.0
140,140.19080305099487,24.976,24.96,0.0,25.0
141,141.19223809242249,24.976,24.96,0.0,25.0
142,142.19368147850037,24.927,24.96,0.0,25.0
143,143.19520044326782,24.976,24.962,0.0,25.0
144,144.19665002822876,24.976,24.96,0.0,25.0
145,145.1981201171875,24.927,24.96,0.0,25.0
146,146.1996726989746,24.976,24.961,0.0,25.0
147,147.2011251449585,24.927,24.961,0.0,25.0
148,148.2025797367096,25.024,24.962,0.0,25.0
149,149.20401740074158,25.024,24.962,0.0,25.0
150,150.20545530319214,25.073,24.962,0.0,25.0
151,151.20669293403623,24.927,24.961,0.0,25.0
152,152.20814442634585,24.927,24.964,0.0,25.0
153,153.20961904525757,24.927,24.96,0.0,25.0
154,154.21105813980105,25.024,24.96,0.0,25.0
155,155.21253061294556,24.878,24.959,0.0,25.0
156,156.21399068832395,24.927,24.96,0.0,25.0
157,157.21546530723572,24.976,24.959,0.0,25.0
158,158.2169132232666,24.927,24.957,0.0,25.0
159,159.21837282180786,24.976,24.957,0.0,25.0
160,160.21943855285645,24.976,24.956,0.0,25.0
161,161.22087812423706,24.927,24.956,0.0,25.0
162,162.22230458259585,24.927,24.953,0.0,25.0
163,163.22376084327698,24.927,24.955,0.0,25.0
164,164.2251946926117,24.976,24.954,0.0,25.0
165,165.22665429115295,24.927,24.954,0.0,25.0
166,166.22793340682983,24.927,24.951,0.0,25.0
167,167.22938990592957,25.024,24.951,0.0,25.0
168,168.23084259033203,24.927,24.95,0.0,25.0
169,169.23166942596436,24.976,24.949,0.0,25.0
170,170.23310828208923,24.976,24.948,0.0,25.0
171,171.23452496528623,24.976,24.947,0.0,25.0
172,172.23560070991516,24.927,24.946,0.0,25.0
173,173.23703718185425,24.927,24.943,0.0,25.0
174,174.23823761940002,25.024,24.942,0.0,25.0
175,175.23966789245603,24.927,24.942,0.0,25.0
176,176.24113821983337,24.927,24.94,0.0,25.0
177,177.24266386032104,24.927,24.94,0.0,25.0
178,178.24414610862732,24.927,24.939,0.0,25.0
179,179.24560236930847,24.927,24.941,0.0,25.0
180,180.2470681667328,24.878,24.941,0.0,25.0
181,181.247465133667,24.927,24.943,0.0,25.0
182,182.24892258644104,24.878,24.943,0.0,25.0
183,183.25038409233093,25.073,24.94,0.0,25.0
184,184.2518615722656,24.927,24.941,0.0,25.0
185,185.25340223312372,24.927,24.944,0.0,25.0
186,186.25483226776123,24.976,24.942,0.0,25.0
187,187.2562770843506,24.927,24.942,0.0,25.0
188,188.25753116607663,24.976,24.943,0.0,25.0
189,189.2589988708496,24.927,24.944,0.0,25.0
190,190.2604682445526,24.927,24.944,0.0,25.0
191,191.26191926002505,24.927,24.947,0.0,25.0
192,192.2633924484253,24.976,24.946,0.0,25.0
193,193.26482725143435,24.927,24.946,0.0,25.0
194,194.26627206802368,24.927,24.946,0.0,25.0
195,195.2674877643585,24.927,24.948,0.0,25.0
196,196.26894521713257,24.976,24.948,0.0,25.0
197,197.27044200897217,24.927,24.947,0.0,25.0
198,198.27189660072327,24.927,24.949,0.0,25.0
199,199.2733833789825,24.927,24.948,0.0,25.0
200,200.27484679222107,24.927,24.949,0.0,25.0
201,201.2763249874115,24.976,24.951,0.0,25.0
202,202.277812242508,24.976,24.953,0.0,25.0
203,203.2793583869934,24.976,24.954,0.0,25.0
204,204.28081154823303,24.976,24.956,0.0,25.0
205,205.2822666168213,24.976,24.961,0.0,25.0
206,206.28370332717896,24.976,24.962,0.0,25.0
207,207.2851510047913,24.927,24.963,0.0,25.0
208,208.28659558296204,24.927,24.964,0.0,25.0
209,209.28762197494507,24.927,24.964,0.0,25.0
210,210.28886532783508,25.024,24.963,0.0,25.0
211,211.2900714874268,24.976,24.963,0.0,25.0
212,212.2915306091309,24.976,24.963,0.0,25.0
213,213.29296970367432,25.073,24.962,0.0,25.0
214,214.2944302558899,24.927,24.967,0.0,25.0
